Date,Z1A1_pumped,Z1A2_pumped,Z1A3_pumped,Z2A1_pumped,Z2A2_pumped,Z2A3_pumped,Z3A1_pumped,Z3A2_pumped,Z3A3_pumped,Z4A1_pumped,Z4A2_pumped,Z4A3_pumped
1/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
2/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
3/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
4/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
5/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
6/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
7/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
8/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
9/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
10/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
11/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
12/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
13/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
14/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
15/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
16/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
17/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
18/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
19/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
20/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
21/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
22/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
23/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
24/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
25/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
26/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
27/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
28/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
29/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
30/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
31/01/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
1/02/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
2/02/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
3/02/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.113601515
4/02/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
