Date,Z1_AMA_dryland,Z1_AMA_irrigated,Z1_TLA_dryland,Z1_TLA_irrigated,Z1_TUGA_dryland,Z1_TUGA_irrigated,Z2_AMA_dryland,Z2_AMA_irrigated,Z2_TLA_dryland,Z2_TLA_irrigated,Z2_TUGA_dryland,Z2_TUGA_irrigated,Z3_AMA_dryland,Z3_AMA_irrigated,Z3_TLA_dryland,Z3_TLA_irrigated,Z3_TUGA_dryland,Z3_TUGA_irrigated,Z4_AMA_dryland,Z4_AMA_irrigated,Z4_TLA_dryland,Z4_TLA_irrigated,Z4_TUGA_dryland,Z4_TUGA_irrigated,Z1_river,Z2_river,Z3_river,Z4_river,Z1_pumped,Z2_pumped,Z3_pumped,Z4_pumped
1/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,5.196929612,0,0,0,0.00000000,0.195523695
2/01/1980,0.004335897,0.004335897,0,0,0.027617524,0.027617524,0,0,0,0,0.044649292,0.044649292,0.010695281,0.010695281,0,0,0.233214867,0.233214867,0,0,0.067991048,0.067991048,0.030770469,0.030770469,0,1.234231106,12.09876821,0,0,0,0.00000000,0.195523695
3/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,16.30849385,0,0,0,0.00000000,0.195523695
4/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,9.512228312,0,0,0,0.00000000,0.195523695
5/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,5.177134664,0,0,0,0.00000000,0.195523695
6/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,4.710303803,0,0,0,0.00000000,0.195523695
7/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,5.76933353,0,0,0,0.00000000,0.195523695
8/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,5.898000693,0,0,0,0.00000000,0.195523695
9/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,5.676957105,0,0,0,0.00000000,0.195523695
10/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234231106,4.033976407,0,0,0,0.00000000,0.195523695
