Date,FishCreekDischarge,PupuMainSpringDischarge,SpringRiver,Motupipi,PaynesFord,Ball,Bennett,Hamama,PupuMainSpring,Savage,Sowman,Cserney,GroveOrchard,MotupipiSubstation,FireStation,Jefferson,TDCOffice
1/01/1980,,,,,0,,,,,,,,,,,,
2/01/1980,,,,,0,,,,,,,,,,,,
3/01/1980,,,,,0,,,,,,,,,,,,
4/01/1980,,,,,0,,,,,,,,,,,,
5/01/1980,,,,,0,,,,,,,,,,,,
6/01/1980,,,,,0,,,,,,,,,,,,
7/01/1980,,,,,0,,,,,,,,,,,,
8/01/1980,,,,,0,,,,,,,,,,,,
9/01/1980,,,,,0,,,,,,,,,,,,
10/01/1980,,,,,0,,,,,,,,,,,,
11/01/1980,,,,,0,,,,,,,,,,,,
12/01/1980,,,,,0,,,,,,,,,,,,
13/01/1980,,,,,0.12886,,,,,,,,,,,,
14/01/1980,,,,,0.5239656,,,,,,,,,,,,
15/01/1980,,,,,0.6405976,,,,,,,,,,,,
16/01/1980,,,,,0,,,,,,,,,,,,
17/01/1980,,,,,25.5175416,,,,,,,,,,,,
18/01/1980,,,,,32.5191288,,,,,,,,,,,,
19/01/1980,,,,,25.5719128,,,,,,,,,,,,
20/01/1980,,,,,95.261604,,,,,,,,,,,,
21/01/1980,,,,,27.421852,,,,,,,,,,,,
22/01/1980,,,,,0.2512968,,,,,,,,,,,,
23/01/1980,,,,,5.6563304,,,,,,,,,,,,
24/01/1980,,,,,4.7028984,,,,,,,,,,,,
25/01/1980,,,,,37.2747416,,,,,,,,,,,,
26/01/1980,,,,,11.3284008,,,,,,,,,,,,
27/01/1980,,,,,0,,,,,,,,,,,,
28/01/1980,,,,,1.5408296,,,,,,,,,,,,
29/01/1980,,,,,2.9560232,,,,,,,,,,,,
30/01/1980,,,,,0,,,,,,,,,,,,
31/01/1980,,,,,0,,,,,,,,,,,,
1/02/1980,,,,,0,,,,,,,,,,,,
2/02/1980,,,,,0,,,,,,,,,,,,
3/02/1980,,,,,0,,,,,,,,,,,,
4/02/1980,,,,,0.5164456,,,,,,,,,,,,
5/02/1980,,,,,0.7114664,,,,,,,,,,,,
6/02/1980,,,,,1.2777096,,,,,,,,,,,,
7/02/1980,,,,,0.8905496,,,,,,,,,,,,
8/02/1980,,,,,0,,,,,,,,,,,,
9/02/1980,,,,,0,,,,,,,,,,,,
10/02/1980,,,,,0,,,,,,,,,,,,
11/02/1980,,,,,0,,,,,,,,,,,,
12/02/1980,,,,,0,,,,,,,,,,,,
13/02/1980,,,,,0,,,,,,,,,,,,
14/02/1980,,,,,6.3979128,,,,,,,,,,,,
15/02/1980,,,,,30.7652984,,,,,,,,,,,,
16/02/1980,,,,,0,,,,,,,,,,,,
17/02/1980,,,,,0,,,,,,,,,,,,
18/02/1980,,,,,0,,,,,,,,,,,,
19/02/1980,,,,,0,,,,,,,,,,,,
20/02/1980,,,,,0,,,,,,,,,,,,
21/02/1980,,,,,0,,,,,,,,,,,,
22/02/1980,,,,,0,,,,,,,,,,,,
23/02/1980,,,,,0,,,,,,,,,,,,
24/02/1980,,,,,0,,,,,,,,,,,,
25/02/1980,,,,,0.116836,,,,,,,,,,,,
26/02/1980,,,,,7.1459672,,,,,,,,,,,,
27/02/1980,,,,,20.746116,,,,,,,,,,,,
28/02/1980,,,,,5.0633384,,,,,,,,,,,,
29/02/1980,,,,,1.0348312,,,,,,,,,,,,
1/03/1980,,,,,0.9146584,,,,,,,,,,,,
2/03/1980,,,,,6.863828,,,,,,,,,,,,
3/03/1980,,,,,27.050204,,,,,,,,,,,,
4/03/1980,,,,,9.0083512,,,,,,,,,,,,
5/03/1980,,,,,0.1947112,,,,,,,,,,,,
6/03/1980,,,,,0,,,,,,,,,,,,
7/03/1980,,,,,0,,,,,,,,,,,,
8/03/1980,,,,,0.0871768,,,,,,,,,,,,
9/03/1980,,,,,0.742724,,,,,,,,,,,,
10/03/1980,,,,,0.2151512,,,,,,,,,,,,
11/03/1980,,,,,2.2285,,,,,,,,,,,,
12/03/1980,,,,,20.2167176,,,,,,,,,,,,
13/03/1980,,,,,13.963428,,,,,,,,,,,,
14/03/1980,,,,,2.4563208,,,,,,,,,,,,
15/03/1980,,,,,3.0764504,,,,,,,,,,,,
16/03/1980,,,,,3.4633272,,,,,,,,,,,,
17/03/1980,,,,,2.809668,,,,,,,,,,,,
18/03/1980,,,,,1.6668936,,,,,,,,,,,,
19/03/1980,,,,,0.5795368,,,,,,,,,,,,
20/03/1980,,,,,0,,,,,,,,,,,,
21/03/1980,,,,,0.5296392,,,,,,,,,,,,
22/03/1980,,,,,0,,,,,,,,,,,,
23/03/1980,,,,,0,,,,,,,,,,,,
24/03/1980,,,,,0,,,,,,,,,,,,
25/03/1980,,,,,0.4208008,,,,,,,,,,,,
26/03/1980,,,,,0.1161064,,,,,,,,,,,,
27/03/1980,,,,,0,,,,,,,,,,,,
28/03/1980,,,,,0,,,,,,,,,,,,
29/03/1980,,,,,0,,,,,,,,,,,,
30/03/1980,,,,,0,,,,,,,,,,,,
31/03/1980,,,,,51.2462424,,,,,,,,,,,,
1/04/1980,,,,,50.431068,,,,,,,,,,,,
2/04/1980,,,,,7.8239208,,,,,,,,,,,,
3/04/1980,,,,,3.6558584,,,,,,,,,,,,
4/04/1980,,,,,0,,,,,,,,,,,,
5/04/1980,,,,,0.4322056,,,,,,,,,,,,
6/04/1980,,,,,40.061388,,,,,,,,,,,,
7/04/1980,,,,,237.53254,,,,,,,,,,,,
8/04/1980,,,,,57.630292,,,,,,,,,,,,
9/04/1980,,,,,39.2593976,,,,,,,,,,,,
10/04/1980,,,,,88.1291528,,,,,,,,,,,,
11/04/1980,,,,,32.993084,,,,,,,,,,,,
12/04/1980,,,,,13.31478,,,,,,,,,,,,
13/04/1980,,,,,7.003444,,,,,,,,,,,,
14/04/1980,,,,,4.0038408,,,,,,,,,,,,
15/04/1980,,,,,2.8003832,,,,,,,,,,,,
16/04/1980,,,,,1.2378104,,,,,,,,,,,,
17/04/1980,,,,,1.3812824,,,,,,,,,,,,
18/04/1980,,,,,1.759428,,,,,,,,,,,,
19/04/1980,,,,,2.1308424,,,,,,,,,,,,
20/04/1980,,,,,1.511084,,,,,,,,,,,,
21/04/1980,,,,,0.0142168,,,,,,,,,,,,
22/04/1980,,,,,0.3008184,,,,,,,,,,,,
23/04/1980,,,,,1.0499224,,,,,,,,,,,,
24/04/1980,,,,,1.2884488,,,,,,,,,,,,
25/04/1980,,,,,1.636956,,,,,,,,,,,,
26/04/1980,,,,,1.6811528,,,,,,,,,,,,
27/04/1980,,,,,1.701652,,,,,,,,,,,,
28/04/1980,,,,,11.815124,,,,,,,,,,,,
29/04/1980,,,,,10.4015688,,,,,,,,,,,,
30/04/1980,,,,,4.4202344,,,,,,,,,,,,
1/05/1980,,,,,2.4044344,,,,,,,,,,,,
2/05/1980,,,,,1.5351928,,,,,,,,,,,,
3/05/1980,,,,,0.0210408,,,,,,,,,,,,
4/05/1980,,,,,0,,,,,,,,,,,,
5/05/1980,,,,,0,,,,,,,,,,,,
6/05/1980,,,,,0,,,,,,,,,,,,
7/05/1980,,,,,0.5149224,,,,,,,,,,,,
8/05/1980,,,,,0.8467176,,,,,,,,,,,,
9/05/1980,,,,,1.2042872,,,,,,,,,,,,
10/05/1980,,,,,1.3714264,,,,,,,,,,,,
